Run;ReleaseDate;LoadDate;spots;bases;spots_with_mates;avgLength;size_MB;AssemblyName;download_path;Experiment;LibraryName;LibraryStrategy;LibrarySelection;LibrarySource;LibraryLayout;InsertSize;InsertDev;Platform;Model;SRAStudy;BioProject;Study_Pubmed_id;ProjectID;Sample;BioSample;SampleType;TaxID;ScientificName;SampleName;g1k_pop_code;source;g1k_analysis_group;Subject_ID;Sex;Disease;Tumor;Affection_Status;Analyte_Type;Histological_Type;Body_Site;CenterName;Submission;dbgap_study_accession;Consent;RunHash;ReadHash
SRR9178441;07.06.19 15:51;02.06.19 16:36;70690243;21228273648;70690243;300;9788;;https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/008963/SRR9178441;SRX5951162;HSD00-20a-270-S2C009-0150-161020;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861860;SAMN11874543;simple;408172;marine metagenome;HSD00-20a-270-S2C009-0150;;;;;;;no;;;;;SCOPE;SRA893074;;public;DC4F083030AEE930927E6356745E350F;F17C1922960FB5AF3C118B0A7EB2C9F5
SRR9178478;07.06.19 15:51;02.06.19 16:48;69124638;20753698136;69124638;300;9608;;https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008963/SRR9178478;SRX5951125;HSD00-20a-270-S2C009-0175-161020;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861772;SAMN11874544;simple;408172;marine metagenome;HSD00-20a-270-S2C009-0175;;;;;;;no;;;;;SCOPE;SRA893074;;public;4EB872E8A5ECA93AAB10BABBAD75B6E7;175804F656E3360EFCF2B5E306B0314B
SRR9178440;07.06.19 15:51;02.06.19 16:19;52290000;15692793176;52290000;300;7131;;https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008963/SRR9178440;SRX5951163;HSD00-20a-270-S2C010-0500-161122;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861622;SAMN11874545;simple;408172;marine metagenome;HSD00-20a-270-S2C010-0500;;;;;;;no;;;;;SCOPE;SRA893074;;public;621F514C0A8E4CBF2A6EB48B14C1066E;8A5CA7FA646C5340A3FB50F02CA818D6
SRR9178436;07.06.19 15:51;02.06.19 15:43;20990890;6293137376;20990890;299;2445;;https://sra-download.ncbi.nlm.nih.gov/traces/sra71/SRR/008963/SRR9178436;SRX5951167;HSD00-20a-271-S2C004-0025-161007;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861862;SAMN11874547;simple;408172;marine metagenome;HSD00-20a-271-S2C004-0025;;;;;;;no;;;;;SCOPE;SRA893074;;public;BBB4FA3745D04013E7D0E2F41ECAD597;9F2A6AAD8CFB218229D010402B173609
SRR9178487;07.06.19 15:51;02.06.19 15:48;20520087;6145359703;20520087;299;2413;;https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/008963/SRR9178487;SRX5951116;HSD00-20a-271-S2C004-0045-161007;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861828;SAMN11874548;simple;408172;marine metagenome;HSD00-20a-271-S2C004-0045;;;;;;;no;;;;;SCOPE;SRA893074;;public;2412F0A3E735CD6CA3AE89622F009D73;B01B33FA785A33C986D9A55331A0F376
SRR9178483;07.06.19 15:51;02.06.19 15:45;27762061;8325589816;27762061;299;3234;;https://sra-download.ncbi.nlm.nih.gov/traces/sra35/SRR/008963/SRR9178483;SRX5951120;HSD00-20a-271-S2C004-0075-161007;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861831;SAMN11874549;simple;408172;marine metagenome;HSD00-20a-271-S2C004-0075;;;;;;;no;;;;;SCOPE;SRA893074;;public;F79FFE14E2C0BA9C937EC744D3F76C77;DE60AC90F722F117385B86718BA6871B
SRR9178410;07.06.19 15:51;02.06.19 15:47;21999430;6585290293;21999430;299;2567;;https://sra-download.ncbi.nlm.nih.gov/traces/sra3/SRR/008963/SRR9178410;SRX5951193;HSD00-20a-271-S2C007-0100-161007;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861877;SAMN11874550;simple;408172;marine metagenome;HSD00-20a-271-S2C007-0100;;;;;;;no;;;;;SCOPE;SRA893074;;public;4E3C790EA4B95EE25AACD11431646091;9D98DC4D636A3CD294FE7FC5E9D46A1A
SRR9178491;07.06.19 15:51;02.06.19 15:52;29760224;8934539784;29760224;300;3507;;https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/008963/SRR9178491;SRX5951112;HSD00-20a-271-S2C009-0200-161007;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861824;SAMN11874554;simple;408172;marine metagenome;HSD00-20a-271-S2C009-0200;;;;;;;no;;;;;SCOPE;SRA893074;;public;B08BBC85964612E0249783F1FB948FCF;C41CFE34BAD70882D15F865A3882E0F4
SRR9178484;07.06.19 15:51;02.06.19 16:05;38319561;11500655596;38319561;300;5052;;https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/008963/SRR9178484;SRX5951119;HSD00-20a-272-S2C008-0150-161221;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861830;SAMN11874564;simple;408172;marine metagenome;HSD00-20a-272-S2C008-0150;;;;;;;no;;;;;SCOPE;SRA893074;;public;5F6556DCF3F120D76166BB8C91531D41;1B2A570FB306A0336F92045862BDBE8A
SRR9178459;07.06.19 15:51;02.06.19 15:55;40469360;12116091853;40469360;299;5420;;https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/008963/SRR9178459;SRX5951144;HSD00-20a-273-S2C008-0175-161026;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861847;SAMN11874577;simple;408172;marine metagenome;HSD00-20a-273-S2C008-0175;;;;;;;no;;;;;SCOPE;SRA893074;;public;1693593BC4E44082DB6F0D054B0BA0CB;55B2342B977146EEA5D90B7807764EC5
SRR9178409;07.06.19 15:51;02.06.19 15:57;34290704;10295929326;34290704;300;4645;;https://sra-download.ncbi.nlm.nih.gov/traces/sra66/SRR/008963/SRR9178409;SRX5951194;HSD00-20a-273-S2C010-0200-161026;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861878;SAMN11874578;simple;408172;marine metagenome;HSD00-20a-273-S2C010-0200;;;;;;;no;;;;;SCOPE;SRA893074;;public;BF641FE51F7F31090EDD99FFE45198E4;EB7E7FDD0EB6FC50AE95317D9F499FB7
SRR9178457;07.06.19 15:51;02.06.19 16:30;47185039;14160014623;47185039;300;6320;;https://sra-download.ncbi.nlm.nih.gov/traces/sra75/SRR/008963/SRR9178457;SRX5951146;HSD00-20a-273-S2C010-0250-161026;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861849;SAMN11874580;simple;408172;marine metagenome;HSD00-20a-273-S2C010-0250;;;;;;;no;;;;;SCOPE;SRA893074;;public;C1A876646BC2E874CB70C35FD23D741B;88D3AC74365350FBA1035F23669F4904
SRR9178443;07.06.19 15:51;02.06.19 15:46;21754954;6521453544;21754954;299;2830;;https://sra-download.ncbi.nlm.nih.gov/traces/sra38/SRR/008963/SRR9178443;SRX5951160;HSD00-20a-274-S2C005-0025-161205;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861858;SAMN11874583;simple;408172;marine metagenome;HSD00-20a-274-S2C005-0025;;;;;;;no;;;;;SCOPE;SRA893074;;public;7C8AEC5B6004510010EEFB92070D61A8;B05F9C143C985DF0D7404822105B8E0E
SRR9178476;07.06.19 15:51;02.06.19 16:01;27136346;8137678796;27136346;299;3595;;https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008963/SRR9178476;SRX5951127;HSD00-20a-275-S2C004-0075-170419;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861836;SAMN11874597;simple;408172;marine metagenome;HSD00-20a-275-S2C004-0075;;;;;;;no;;;;;SCOPE;SRA893074;;public;BFC30B5A3D0EC157C219A7A108C43879;5594F4C43DFB435DAFB64FD01879BE30
SRR9178456;07.06.19 15:51;02.06.19 15:56;38969879;11707255751;38969879;300;5203;;https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008963/SRR9178456;SRX5951147;HSD00-20a-275-S2C009-0225-170419;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861850;SAMN11874603;simple;408172;marine metagenome;HSD00-20a-275-S2C009-0225;;;;;;;no;;;;;SCOPE;SRA893074;;public;DF9A8317349D88A45E8D232DB157CC9D;A4FC6C21496BC901BE8FAA16DF58698D
SRR9178494;07.06.19 15:51;02.06.19 15:48;20774041;6222490368;20774041;299;2684;;https://sra-download.ncbi.nlm.nih.gov/traces/sra14/SRR/008963/SRR9178494;SRX5951109;HSD00-20a-277-S2C004-0005-161215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861821;SAMN11874606;simple;408172;marine metagenome;HSD00-20a-277-S2C004-0005;;;;;;;no;;;;;SCOPE;SRA893074;;public;1F905F13B4D3A320DB7260DD87388EDE;1AC3AAA101F3681F8025DBBF8E6A9DB6
SRR9178490;07.06.19 15:51;02.06.19 15:53;20512404;6117286016;20512404;298;2709;;https://sra-download.ncbi.nlm.nih.gov/traces/sra19/SRR/008963/SRR9178490;SRX5951113;HSD00-20a-277-S2C004-0045-161215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861825;SAMN11874608;simple;408172;marine metagenome;HSD00-20a-277-S2C004-0045;;;;;;;no;;;;;SCOPE;SRA893074;;public;C794844459850787A44BB28E9994A5EB;C103C3A365BB079ECBD3661BC0BAB817
SRR9178460;07.06.19 15:51;02.06.19 15:58;25282984;7580571978;25282984;299;3366;;https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/008963/SRR9178460;SRX5951143;HSD00-20a-277-S2C009-0225-161215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861846;SAMN11874615;simple;408172;marine metagenome;HSD00-20a-277-S2C009-0225;;;;;;;no;;;;;SCOPE;SRA893074;;public;CC5FED77C0B3BC309D8676DA5350C45B;DBE0D8BDFB2F0BE1D7F79EBE38A99EAD
SRR9178501;07.06.19 15:51;02.06.19 15:51;24516671;7348194141;24516671;299;3241;;https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/008963/SRR9178501;SRX5951102;HSD00-20a-277-S2C009-0250-161215;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861819;SAMN11874616;simple;408172;marine metagenome;HSD00-20a-277-S2C009-0250;;;;;;;no;;;;;SCOPE;SRA893074;;public;29C034A368A9BE56996DB6FDAE5F10B4;83D997AE13C040B0B9A5A28603E3819E
SRR9178404;07.06.19 15:51;02.06.19 15:57;37462074;11157729586;37462074;297;4999;;https://sra-download.ncbi.nlm.nih.gov/traces/sra71/SRR/008963/SRR9178404;SRX5951199;HSD00-20a-278-S2C003-0025-161217;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861881;SAMN11874619;simple;408172;marine metagenome;HSD00-20a-278-S2C003-0025;;;;;;;no;;;;;SCOPE;SRA893074;;public;B17E0076C416857667DDF94686802026;79B19CFA0F7956711DF5778DB01F6362
SRR9178479;07.06.19 15:51;02.06.19 16:02;36328510;10861141742;36328510;298;4923;;https://sra-download.ncbi.nlm.nih.gov/traces/sra71/SRR/008963/SRR9178479;SRX5951124;HSD00-20a-278-S2C006-0150-161217;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861835;SAMN11874624;simple;408172;marine metagenome;HSD00-20a-278-S2C006-0150;;;;;;;no;;;;;SCOPE;SRA893074;;public;8267E14D82A31FDCF2708BD266E84EEF;AA3EC2F6FA6978C934F3A8C5F828C14E
SRR9178445;07.06.19 15:51;02.06.19 16:03;35188543;10512917796;35188543;298;4760;;https://sra-download.ncbi.nlm.nih.gov/traces/sra59/SRR/008963/SRR9178445;SRX5951158;HSD00-20a-278-S2C008-0250-161217;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861856;SAMN11874628;simple;408172;marine metagenome;HSD00-20a-278-S2C008-0250;;;;;;;no;;;;;SCOPE;SRA893074;;public;595942114EDDF2DA498804C985B2DA98;62D804E678D541A302DA98F6A31A6216
SRR9178485;07.06.19 15:51;02.06.19 15:45;26722418;8013558803;26722418;299;3257;;https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/008963/SRR9178485;SRX5951118;HSD00-20a-279-S2C007-0100-170501;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861829;SAMN11874634;simple;408172;marine metagenome;HSD00-20a-279-S2C007-0100;;;;;;;no;;;;;SCOPE;SRA893074;;public;D8A0E42A0DDA08C4865D1C8994502EDB;70D82A45D3472057364D85AAB92DACF0
SRR9178442;07.06.19 15:51;02.06.19 15:59;33342643;9996765750;33342643;299;4043;;https://sra-download.ncbi.nlm.nih.gov/traces/sra34/SRR/008963/SRR9178442;SRX5951161;HSD00-20a-279-S2C007-0125-170501;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861859;SAMN11874635;simple;408172;marine metagenome;HSD00-20a-279-S2C007-0125;;;;;;;no;;;;;SCOPE;SRA893074;;public;EA71BF4B693E42C401A5FBED4C9E9E01;530CD45A18C4B9D0FBED0C923086E6D5
SRR9178444;07.06.19 15:51;02.06.19 15:49;26104153;7834332338;26104153;300;3220;;https://sra-download.ncbi.nlm.nih.gov/traces/sra16/SRR/008963/SRR9178444;SRX5951159;HSD00-20a-279-S2C012-0500-170501;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861857;SAMN11874641;simple;408172;marine metagenome;HSD00-20a-279-S2C012-0500;;;;;;;no;;;;;SCOPE;SRA893074;;public;ED65D0FD88474AFD9FB877787D7F6021;518903255AD84F89475F20A299CBCC0C
SRR9178482;07.06.19 15:51;02.06.19 16:06;33659289;10103981423;33659289;300;4048;;https://sra-download.ncbi.nlm.nih.gov/traces/sra9/SRR/008963/SRR9178482;SRX5951121;HSD00-20a-280-S2C004-0075-170508;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861832;SAMN11874645;simple;408172;marine metagenome;HSD00-20a-280-S2C004-0075;;;;;;;no;;;;;SCOPE;SRA893074;;public;49D3C02E1079BFD4568E021664BE71BC;E311E85ED922D5C06A59A93060D822A3
SRR9178464;07.06.19 15:51;02.06.19 15:53;39294556;11789677880;39294556;300;4821;;https://sra-download.ncbi.nlm.nih.gov/traces/sra70/SRR/008963/SRR9178464;SRX5951139;HSD00-20a-280-S2C007-0150-170508;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861843;SAMN11874648;simple;408172;marine metagenome;HSD00-20a-280-S2C007-0150;;;;;;;no;;;;;SCOPE;SRA893074;;public;2C57D4E95EB404BE25AD05F1036AE624;592C6856855E5BD5C6A84F2D9B7C9219
SRR9178492;07.06.19 15:51;02.06.19 15:55;31747341;9513389965;31747341;299;3883;;https://sra-download.ncbi.nlm.nih.gov/traces/sra73/SRR/008963/SRR9178492;SRX5951111;HSD00-20a-280-S2C007-0175-170508;WGS;RANDOM;METAGENOMIC;PAIRED;0;0;ILLUMINA;NextSeq 500;SRP092796;PRJNA352737;2;352737;SRS4861823;SAMN11874649;simple;408172;marine metagenome;HSD00-20a-280-S2C007-0175;;;;;;;no;;;;;SCOPE;SRA893074;;public;89E3232B75D214F15581B2B31C84F6AC;8DF66C1DA40F5AA89FEB59CAE0DF5D1D
